'Recall / Sales History' [2996x1771@422,292]
'1 items · 20 d ago' [310x55@31,1166]
'57.50' [167x55@341,1166]
'Take Away · ORD-68' [310x54@31,1272]
'Take Away' [158x50@350,1274]
'1 items · 21 d ago' [310x55@31,1326]
'50.00' [167x55@341,1326]
'Take Away · ORD-56' [310x54@31,1432]
'Take Away' [158x50@350,1434]
'2 items · 23 d ago' [310x55@31,1486]
'307.50' [167x55@341,1486]
'Take Away · ORD-44' [310x54@31,1592]
'Take Away' [158x50@350,1594]
'2 items · 23 d ago' [310x55@31,1646]
'255.00' [167x55@341,1646]
'▦' [32x26@2731,181]
'▤' [32x26@2767,181]
'Foodies Menu' [2158x90@641,181]
'‹' [32x146@641,273]
'🍔' [59x68@696,294]
'All Menu' [233x26@771,294]
'15 items' [233x26@771,336]
'🍽️' [59x68@1066,294]
'BEVERAGES' [233x26@1141,294]
'2 items' [233x26@1141,336]
'🍞' [59x68@1436,294]
'BREAD' [233x26@1511,294]
'3 items' [233x26@1511,336]
'🍗' [59x68@1806,294]
'Chicken' [233x26@1881,294]
'0 items' [233x26@1881,336]
'🍽️' [59x68@2176,294]
'Karahi' [233x26@2251,294]
'0 items' [233x26@2251,336]
'🍽️' [59x68@2546,294]
'SNACKS' [233x26@2621,294]
'1 items' [233x26@2621,336]
'›' [32x146@2767,273]
'Chicken Biryani' [470x41@680,615]
'450.00' [450x207@690,770]
'Chicken Haleem' [470x41@1216,615]
'Half
260.00' [236x209@1213,769]
'Full
420.00' [236x209@1453,769]
'Salad' [470x41@1752,615]
'30.00' [450x207@1762,770]
'Chicken Karahi' [472x41@2288,615]
'1,200.00' [452x207@2298,770]
'Q' [53x89@678,1031]
'QA Test 2' [470x41@680,1195]
'SNACKS' [470x107@680,1238]
'15.00' [450x207@690,1350]
'Murgh Chanay' [470x41@1216,1195]
'Half
260.00' [236x209@1213,1349]
'Full
400.00' [236x209@1453,1349]
'White Daal Mash' [470x41@1752,1195]
'Half
220.00' [236x209@1749,1349]
'Full
340.00' [236x209@1989,1349]
'Q' [53x89@2286,1031]
'QA Test 5' [472x41@2288,1195]
'SNACKS' [472x107@2288,1238]
'0.00' [452x207@2298,1350]
'L' [33x89@678,1611]
'Leechi' [470x41@680,1775]
'BEVERAGES' [470x108@680,1818]
'50.00' [450x207@690,1931]
'A' [45x89@1214,1611]
'Aloo Gobi' [470x41@1216,1775]
'Half
250.00' [236x209@1213,1930]
'Full
380.00' [236x209@1453,1930]
'Chicken Koyla Karahi' [470x41@1752,1775]
'Full
550.00' [236x209@1749,1930]
'Half
350.00' [236x209@1989,1930]
'G' [47x89@2286,1611]
'Garlic Nan' [472x41@2288,1775]
'BREAD' [472x108@2288,1818]
'50.00' [452x207@2298,1931]
'Showing 1–12 of 17 items' [1490x94@660,2175]
'‹ Previous' [221x70@2155,2187]
'1' [80x70@2383,2187]
'2' [80x70@2473,2187]
'Next ›' [221x70@2560,2187]
'+ New' [170x80@3655,178]
'No active order' [298x70@3228,283]
'Ordered Items 00' [299x70@3526,283]
'-' [137x74@2834,1438]
'+' [137x74@2975,1438]
'Qty' [137x74@3116,1438]
'Notes' [137x74@3257,1438]
'Price' [137x74@3398,1438]
'Void' [137x74@3539,1438]
'Delete' [141x74@3680,1438]
'Subtotal' [278x35@2830,1517]
'0.00' [218x35@3108,1517]
'Discount' [278x35@3326,1517]
'-0.00' [221x35@3604,1517]
'Tax' [278x35@2830,1552]
'0.00' [218x35@3108,1552]
'Service Charge' [278x35@3326,1552]
'0.00' [221x35@3604,1552]
'TOTAL PAYABLE' [774x37@2830,1587]
'0.00' [221x37@3604,1587]
'Balance Due' [774x39@2830,1624]
'0.00' [221x39@3604,1624]
'PAYMENT METHOD' [322x76@2830,1665]
'AMOUNT TENDERED' [277x38@2830,1766]
'Exact' [135x80@3341,1745]
'CHANGE' [115x38@3486,1766]
'0.00' [209x80@3616,1745]
'7' [169x54@2891,1828]
'8' [169x54@3062,1828]
'9' [171x54@3233,1828]
'4' [169x54@2891,1884]
'5' [169x54@3062,1884]
'6' [171x54@3233,1884]
'1' [169x54@2891,1940]
'2' [169x54@3062,1940]
'3' [171x54@3233,1940]
'.' [169x54@2891,1996]
'0' [169x54@3062,1996]
'⌫' [171x54@3233,1996]
'Clear' [513x54@2891,2052]
'100' [168x91@3426,1828]
'200' [168x91@3596,1828]
'500' [168x91@3426,1921]
'1000' [168x91@3596,1921]
'2000' [168x92@3426,2014]
'5000' [168x92@3596,2014]
'Hold' [329x75@2830,2110]
'Recall' [327x75@3163,2110]
'Clear' [331x75@3494,2110]
'Record Payment' [356x80@2830,2190]
'Split Payment' [254x80@3190,2190]
'Print Bill' [155x80@3448,2190]
'Place Order' [218x80@3607,2190]
'Restaurant POS' [3872x77@-16,-16]

